title,description,updateFrequency,license,keywords,landingPage,Status,temporal,theme,publisher.name,contactPoint.fn,contactPoint.hasEmail,distribution.0.title,distribution.0.description,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.1.title,distribution.1.description,distribution.1.download URL,distribution.1.format,distribution.1.size,distribution.2.title,distribution.2.description,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.3.title,distribution.3.description,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.4.title,distribution.4.description,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.5.title,distribution.5.description,distribution.5.downloadURL,distribution.5.format,distribution.5.size,distribution.6.title,distribution.6.description,distribution.6.downloadURL,distribution.6.format,distribution.6.size,distribution.7.title,distribution.7.description,distribution.7.downloadURL,distribution.7.format,distribution.7.size
Income distributions of individual customers 2001 - 2018,"Statistics relating to the estimates of the number of individuals in bands of taxable income up to $250,000 (2001-2009), and up to $300,000 (from 2010 onwards). ",Annual,https://creativecommons.org/licenses/by/4.0/,"Income Distribution, Individuals , Tax",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-distrib-individual-customers/income-distrib-individ-customers.html ,Published,01-2001/12-2018/19,Income distribution of customers,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Income distributions of individual customers,,https://www.classic.ird.govt.nz/resources/d/8/d82aa072-4486-488b-bbf7-0b824f3a9b15/Thousand-dollar-bands-2001-2018-July-2019.xlsx,XLS,304kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wage/salary distributions for individual customers 2001 - 2019,"Statistics relating to wage/salary income including any gross earnings received from any employer, from which PAYE was deducted. ",Annual,https://creativecommons.org/licenses/by/4.0/,"Wage/salary, Distributions, Individuals",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/wage-distribution-individ-customers/wage-distrib-individ-customers.html,Published,01-2001/12-2018/19,Wage/salary distributions for customers,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Wage/salary distributions for individual customers,,https://www.classic.ird.govt.nz/resources/c/8/c8eb6da3-e34e-45a1-aefa-7d0f2504eb39/wages-data-25-6-19.xlsx,XLS,77kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net GST by turnover band 2007 to 2019,Statistics relating to Inland Revenue administered GST but not including gross GST collected by the New Zealand Customs Service,Annual,https://creativecommons.org/licenses/by/4.0/,"Net GST, Turnover Band, 2007 to 2019",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/net-gst-by-turnover-band/gst-turnover-band.html,Published,01-2007/12-2019,Net GST by turnover band,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Net GST by turnover band 2007 - 2019,,https://www.classic.ird.govt.nz/resources/8/b/8b3a6187-e7ab-4ccd-a635-7d76ad33dd87/net-gst-band-19.xlsx ,XLS,12kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of GST filers by turnover band 2007 to 2019,Statistics relating to GST returns as the sum of gross sales in the year ended 31 March. ,Annual,https://creativecommons.org/licenses/by/4.0/,"Number GST Filers, Turnover Band 2007 to 2019",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/gst-filers-by-turnover-band/gst-filers-turnover-band.html,Published,01-2007/03-2019,Number of GST filers by turnover band 2007 to 2019,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of GST filers by turnover band 2007 - 2019,,https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/gst-filers-by-turnover-band/gst-filers-turnover-band.html,XLS,11kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of donation tax credits claimed 2004 to 2018,Statistics relating to the number of donations tax credit claimed 2004 to 2018,Annual,https://creativecommons.org/licenses/by/4.0/,"Donations, Tax Credit, ",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/donation-rebates/donations-rebates.html,Published,01-2004/12-2018,"Tax Credit, Subsidy and Grant",Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of donations tax credit claimed 2004 - 2018,,https://www.classic.ird.govt.nz/resources/1/8/18452815-bb09-4921-a6eb-6366671b8ef7/num-donations-04-18.xlsx,XLS,12kb,Data in CSV,,https://www.classic.ird.govt.nz/resources/e/1/e183f1f9-17ed-41b0-86d2-c00dad1b007e/num-donations-04-18.csv,CSV,1 KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average donations tax credit claimed per claimant 2004 to 2018 ,Statistics relating to the average donations tax credit claimed per claimant 2004 to 2018 ,Annual,https://creativecommons.org/licenses/by/4.0/,"Average Donations, Tax Credit, Claimed, 2004 to 2018 ",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/donation-rebates/donations-rebates.html,Published,01-2004/12-2018,"Tax Credit, Subsidy and Grant",Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Average donations tax credit claimed per claimant 2004 - 2018,,https://www.classic.ird.govt.nz/resources/4/d/4d1cba9e-80c2-4662-82d9-6094a407d6a9/ave-donation-claimed-per-claimant-04-18.xlsx,XLS,23kb,Data in CSV,,https://www.classic.ird.govt.nz/resources/4/9/493a413d-07ad-4496-ac94-bef87e200671/ave-donation-claimed-per-claimant-04-18.csv,CSV,5 KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tax credits claimed through ""payroll giving"" via employers 2011 to 2019","Statistics relating to tax credits claimed through ""payroll giving"" via employers 2011 to 2019 ",Annual,https://creativecommons.org/licenses/by/4.0/,"Donations Tax credits, Payroll Giving, Employers",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/donation-rebates/donations-rebates.html,Published,01-2004/12-2018,,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Tax credits claimed 2011-19,,https://www.classic.ird.govt.nz/resources/a/3/a357a1ce-d87e-4beb-8055-d43f54325786/claimed-through-payroll-giving-11-19.xlsx,XLS,18kb,Data in CSV,,https://www.classic.ird.govt.nz/resources/5/7/5791319f-adee-45e3-8f77-0f9b7addfa09/claimed-through-payroll-giving-11-19.csv,CSV,1 KB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income of trusts IR6 returns 2001 to 2018 ,Statistics relating to the income of trusts IR6 returns 2001 to 2018 ,Annual,https://creativecommons.org/licenses/by/4.0/,"Income Trusts, IR6 Returns, 2001 - 2018 ",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-trusts-ir6-returns/trusts-income-data.html,Published,01-2001/12-2018,Income of trusts IR6 returns 2001 to 2018 ,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Income of trusts IR6 returns 2001 - 2018 ,,https://www.classic.ird.govt.nz/resources/3/9/392fff70-3662-4619-a120-31fe12f222d5/trusts-data-july-2019.xlsx ,XLS,51kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working for Families Tax Credits - number of families 2001 - 2018,Statistics relating to the Working for Families Tax Credits - number of families 2001 to 2018,Annual,https://creativecommons.org/licenses/by/4.0/,"Working for Families, Tax Credit, - Number of Families",https://www.classic.ird.govt.nz/aboutir/external-stats/social-policy/wfftc/wfftc.html,Published,01-2001/12-2018,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Working for Families Tax Credits - number of families 2001 - 2018,,https://www.classic.ird.govt.nz/resources/6/6/666b6323-230f-46f0-9d77-d3869d3c9d63/wff-number-of-families.xls.,XLS,14kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working for Families Tax Credits - average entitlement 2001 - 2018,Statistics relating to the Working for Families Tax Credits - average entitlement 2001 -2018,Annual,https://creativecommons.org/licenses/by/4.0/,"Working for Families Tax Credits, Average Entitlement",https://www.classic.ird.govt.nz/aboutir/external-stats/social-policy/wfftc/wfftc.html,Published,01-2001/12-2018/19,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Working for Families Tax Credits -, average entitlement 2001-2018",,https://www.classic.ird.govt.nz/resources/a/8/a8924a1d-aac4-4afe-996c-5140a46f8629/wff-average-entitlement.xlsx,XLS,13kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KiwiSaver members, 2010-2019",Statistics relating to the number of active/provisional KiwiSaver members by enrolment method 2010-19,Annual,https://creativecommons.org/licenses/by/4.0/,"Active Provisional KiwiSaver Members, Year, Enrolment Method, KiwiSaver.",https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,06-2010/06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,KiwiSaver membership by enrolment method,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of individuals opted out of KiwiSaver 2010-2019,"Statistics relating to the number of individuals as at the end of each financial year, who have opted out of  KiwiSaver within th provisional period",Annual,https://creativecommons.org/licenses/by/4.0/,"Individuals , Financial Year, Opt-Out,  KiwiSaver, Provisional Period.",https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number of individuals as at the end of each financial year, who have opted out of KiwiSaver within the provisional period.",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of active or provisional KiwiSaver members at end of financial year 2010-2019,"Statistics relating to the number of active or provisional KiwiSaver members as at the end of each financial year, by age bracket",Annual,https://creativecommons.org/licenses/by/4.0/,"Number, Active or provisional KiwiSaver Members, Financial year, Age ",https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number of active or provisional KiwiSaver members, financial year, by age ",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active or provisional KiwiSaver members as at the end of each financial year, by gender 2010-2019","Statistics relating to the number of active or provisional KiwiSaver members as at the end of each financial year, by gender",Annual,https://creativecommons.org/licenses/by/4.0/,"Number of Active or Provisional KiwiSaver Member, Financial Year, Gender",https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number of active or provisional KiwiSaver member, financial year, gender",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active or provisional KiwiSaver members at the end of each financial year, by annual income 2010-2019","Statistics relating to the number of active or provisional KiwiSaver members at the end of each financial year, by annual income.",Annual,https://creativecommons.org/licenses/by/4.0/,"Number of Active or Provisional KiwiSaver Member, Financial Year, Annual Income",https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number of active or provisional KiwiSaver members at the end of each financial year, by annual income","Number of active or provisional KiwiSaver members at the end of each financial year, by annual income",https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of active and provisional KiwiSaver members by region 2010-2019,Statistics showing the percentage of members in each New Zealand region as at 30 June 2019. Members without a valid NZ postcode are excluded.,Annual,https://creativecommons.org/licenses/by/4.0/,Number of Active and Provisional KiwiSaver Members by Region,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Number of active and provisional KiwiSaver members by region,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme Transfers 2010-2019,Statistics relating to the number of scheme transfers during financial year,Annual,https://creativecommons.org/licenses/by/4.0/,"Number, Scheme Transfers, Financial Year",https://www.kiwisaver.govt.nz/statistics/annual/schemes/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number, scheme transfers, financial year",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme entry method by year 2010-2019,"Statistics relating to the number of active or provisional KiwiSaver members at the end of each financial year,  by their current scheme entry method",Annual,https://creativecommons.org/licenses/by/4.0/,"Scheme Entry Method, Year",https://www.kiwisaver.govt.nz/statistics/annual/schemes/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Scheme entry method, year",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments to scheme providers by category 2010-2019,Statistics relating to the annual payments to providers by category,Annual,https://creativecommons.org/licenses/by/4.0/,"Annual Payments, Providers, Category, Year",https://www.kiwisaver.govt.nz/statistics/annual/contributions/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Annual payments, providers, category",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments to scheme providers by source 2010-2019,Statistics relating to the annual payments to providers by source.,Annual,https://creativecommons.org/licenses/by/4.0/,"Annual, Payments, Scheme Providers, Source, Year",https://www.kiwisaver.govt.nz/statistics/annual/contributions/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Annual, payments, scheme providers, source, year",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of saving suspensions by type 2010-2019,Statistics relating to the annual number of suspensions by type,Annual,https://creativecommons.org/licenses/by/4.0/,"Number, Saving Suspensions, Type",https://www.kiwisaver.govt.nz/statistics/annual/contributions/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Annual holiday, type, hardship, ordinary",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls.,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funds withdrawn 2010-2019,Statistics relating to the number of members who made fund withdrawals each financial year for either a first home or financial hardship.,Annual,https://creativecommons.org/licenses/by/4.0/,"Number, Members, Fund Withdrawals by Year, First Home or Financial Hardship.",https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number, members, fund withdrawals by year, for first home or financial hardship.",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KiwiSaver refunds withdrawn by reason 2010-2019,Statistics relating to the dollar amount of fund withdrawals each financial year for both first home and financial hardship withdrawals.,Annual,https://creativecommons.org/licenses/by/4.0/,"Number, KiwiSaver Members, Amount of Withdrawal, Reasons", https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/ ,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Dollar amount of fund withdrawals each financial year for both first home and financial hardship withdrawals.,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amount of KiwiSaver funds withdrawn by reasons 2010-2019,Statistics on the dollar amount of fund withdrawals each financial year for both first home and financial  by hardship withdrawals,Annual,https://creativecommons.org/licenses/by/4.0/,"Dollar Amount, KiwiSaver Funds Withdrawn by Reasons", https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/ ,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,Dollar amount of KiwiSaver funds withdrawn by reasons,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of KiwiSaver closed account 2010-2019,"Statistics on the number of members at the end of each financial year who have closed their account and  withdrawn their savings due to retirement, permanent emigration, death or serious illness",Annual,https://creativecommons.org/licenses/by/4.0/,"Number, KiwiSaver Closed Account. Emigration, Death, Serious Illness",https://www.kiwisaver.govt.nz/statistics/annual/exiting/,Published,2010/06-06-2019,Social Policy,Inland Revenue,Inland Revenue,open.data2@ird.govt.nz,"Number KiwiSaver closed account. emigration, death, serious illness",,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls, XLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
